ID,J1,J2,J3,J4,J5,J6,J7,Distance,X,Y,Z,Reachable
109,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.954282,6.445,4.02,0.06,0
110,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.969789,6.485,4.02,0.06,0
111,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.912292,6.125,3.98,0.06,0
112,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.914612,6.165,3.98,0.06,0
113,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.918669,6.205,3.98,0.06,0
114,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.92444,6.245,3.98,0.06,0
115,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.931895,6.285,3.98,0.06,1
116,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.940992,6.325,3.98,0.06,0
117,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.951684,6.365,3.98,0.06,1
118,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.963919,6.405,3.98,0.06,0
119,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.977639,6.445,3.98,0.06,0
120,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.992782,6.485,3.98,0.06,0
121,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.938404,6.125,3.94,0.06,0
122,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.940659,6.165,3.94,0.06,0
123,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.944604,6.205,3.94,0.06,0
124,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.950218,6.245,3.94,0.06,0
125,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.957472,6.285,3.94,0.06,1
